Level (in),Q (GPM)
15.21,2032.86
15.22,2036.2
15.23,2039.54
15.24,2042.89
15.25,2046.24
15.26,2049.59
15.27,2052.95
15.28,2056.31
15.29,2059.67
15.3,2063.04
15.31,2066.41
15.32,2069.79
15.33,2073.16
15.34,2076.54
15.35,2079.93
15.36,2083.31
15.37,2086.7
15.38,2090.1
15.39,2093.49
15.4,2096.89
15.41,2100.3
15.42,2103.7
15.43,2107.11
15.44,2110.53
15.45,2113.94
15.46,2117.36
15.47,2120.79
15.48,2124.21
15.49,2127.64
15.5,2131.08
15.51,2134.51
15.52,2137.95
15.53,2141.4
15.54,2144.84
15.55,2148.29
15.56,2151.75
15.57,2155.2
15.58,2158.66
15.59,2162.13
15.6,2165.59
15.61,2169.06
15.62,2172.54
15.63,2176.01
15.64,2179.49
15.65,2182.98
15.66,2186.46
15.67,2189.95
15.68,2193.45
15.69,2196.94
15.7,2200.44
15.71,2203.95
15.72,2207.45
15.73,2210.96
15.74,2214.48
15.75,2217.99
15.76,2221.51
15.77,2225.04
15.78,2228.56
15.79,2232.09
15.8,2235.63
15.81,2239.17
15.82,2242.71
15.83,2246.25
15.84,2249.8
15.85,2253.35
15.86,2256.9
15.87,2260.46
15.88,2264.02
15.89,2267.58
15.9,2271.15
15.91,2274.72
15.92,2278.29
15.93,2281.87
15.94,2285.45
15.95,2289.03
15.96,2292.62
15.97,2296.21
15.98,2299.81
15.99,2303.4
16,2307
16.01,2310.61
16.02,2314.22
16.03,2317.83
16.04,2321.44
16.05,2325.06
16.06,2328.68
16.07,2332.3
16.08,2335.93
16.09,2339.56
16.1,2343.2
16.11,2346.83
16.12,2350.48
16.13,2354.12
16.14,2357.77
16.15,2361.42
16.16,2365.08
16.17,2368.73
16.18,2372.4
16.19,2376.06
16.2,2379.73
16.21,2383.4
16.22,2387.08
16.23,2390.75
16.24,2394.44
16.25,2398.12
16.26,2401.81
16.27,2405.5
16.28,2409.2
16.29,2412.9
16.3,2416.6
16.31,2420.31
16.32,2424.02
16.33,2427.73
16.34,2431.44
16.35,2435.16
16.36,2438.89
16.37,2442.61
16.38,2446.34
16.39,2450.08
16.4,2453.81
16.41,2457.55
16.42,2461.3
16.43,2465.04
16.44,2468.79
16.45,2472.55
16.46,2476.3
16.47,2480.06
16.48,2483.83
16.49,2487.6
16.5,2491.37
16.51,2495.14
16.52,2498.92
16.53,2502.7
16.54,2506.48
16.55,2510.27
16.56,2514.06
16.57,2517.86
16.58,2521.66
16.59,2525.46
16.6,2529.26
16.61,2533.07
16.62,2536.88
16.63,2540.7
16.64,2544.52
16.65,2548.34
16.66,2552.17
16.67,2556
16.68,2559.83
16.69,2563.66
16.7,2567.5
16.71,2571.35
16.72,2575.19
16.73,2579.04
16.74,2582.9
16.75,2586.75
16.76,2590.61
16.77,2594.48
16.78,2598.34
16.79,2602.21
16.8,2606.09
16.81,2609.97
16.82,2613.85
16.83,2617.73
16.84,2621.62
16.85,2625.51
16.86,2629.41
16.87,2633.3
16.88,2637.21
16.89,2641.11
16.9,2645.02
16.91,2648.93
16.92,2652.85
16.93,2656.77
16.94,2660.69
16.95,2664.62
16.96,2668.54
16.97,2672.48
16.98,2676.41
16.99,2680.35
17,2684.3
17.01,2688.24
17.02,2692.2
17.03,2696.15
17.04,2700.11
17.05,2704.07
17.06,2708.03
17.07,2712
17.08,2715.97
17.09,2719.95
17.1,2723.92
17.11,2727.91
17.12,2731.89
17.13,2735.88
17.14,2739.87
17.15,2743.87
17.16,2747.87
17.17,2751.87
17.18,2755.88
17.19,2759.89
17.2,2763.9
17.21,2767.92
17.22,2771.94
17.23,2775.96
17.24,2779.99
17.25,2784.02
17.26,2788.05
17.27,2792.09
17.28,2796.13
17.29,2800.17
17.3,2804.22
17.31,2808.27
17.32,2812.33
17.33,2816.39
17.34,2820.45
17.35,2824.52
17.36,2828.59
17.37,2832.66
17.38,2836.74
17.39,2840.82
17.4,2844.9
17.41,2848.99
17.42,2853.08
17.43,2857.17
17.44,2861.27
17.45,2865.37
17.46,2869.47
17.47,2873.58
17.48,2877.69
17.49,2881.81
17.5,2885.93
17.51,2890.05
17.52,2894.17
17.53,2898.3
17.54,2902.44
17.55,2906.57
17.56,2910.71
17.57,2914.86
17.58,2919
17.59,2923.15
17.6,2927.31
17.61,2931.46
17.62,2935.63
17.63,2939.79
17.64,2943.96
17.65,2948.13
17.66,2952.31
17.67,2956.48
17.68,2960.67
17.69,2964.85
17.7,2969.04
17.71,2973.23
17.72,2977.43
17.73,2981.63
17.74,2985.83
17.75,2990.04
17.76,2994.25
17.77,2998.47
17.78,3002.69
17.79,3006.91
17.8,3011.13
17.81,3015.36
17.82,3019.59
17.83,3023.83
17.84,3028.07
17.85,3032.31
17.86,3036.56
17.87,3040.81
17.88,3045.06
17.89,3049.32
17.9,3053.58
17.91,3057.84
17.92,3062.11
17.93,3066.38
17.94,3070.66
17.95,3074.93
17.96,3079.22
17.97,3083.5
17.98,3087.79
17.99,3092.08
18,3096.38
18.01,3100.68
18.02,3104.98
18.03,3109.29
18.04,3113.6
18.05,3117.91
18.06,3122.23
18.07,3126.55
18.08,3130.88
18.09,3135.21
18.1,3139.54
18.11,3143.88
18.12,3148.22
18.13,3152.56
18.14,3156.9
18.15,3161.25
18.16,3165.61
18.17,3169.97
18.18,3174.33
18.19,3178.69
18.2,3183.06
18.21,3187.43
18.22,3191.81
18.23,3196.19
18.24,3200.57
18.25,3204.95
18.26,3209.34
18.27,3213.74
18.28,3218.13
18.29,3222.53
18.3,3226.94
18.31,3231.35
18.32,3235.76
18.33,3240.17
18.34,3244.59
18.35,3249.01
18.36,3253.44
18.37,3257.87
18.38,3262.3
18.39,3266.74
18.4,3271.18
18.41,3275.62
18.42,3280.07
18.43,3284.52
18.44,3288.98
18.45,3293.44
18.46,3297.9
18.47,3302.36
18.48,3306.83
18.49,3311.31
18.5,3315.78
18.51,3320.26
18.52,3324.75
18.53,3329.23
18.54,3333.72
18.55,3338.22
18.56,3342.72
18.57,3347.22
18.58,3351.73
18.59,3356.23
18.6,3360.75
18.61,3365.26
18.62,3369.78
18.63,3374.31
18.64,3378.84
18.65,3383.37
18.66,3387.9
18.67,3392.44
18.68,3396.98
18.69,3401.53
18.7,3406.08
18.71,3410.63
18.72,3415.19
18.73,3419.75
18.74,3424.31
18.75,3428.88
18.76,3433.45
18.77,3438.02
18.78,3442.6
18.79,3447.18
18.8,3451.77
18.81,3456.36
18.82,3460.95
18.83,3465.55
18.84,3470.15
18.85,3474.75
18.86,3479.36
18.87,3483.97
18.88,3488.59
18.89,3493.21
18.9,3497.83
18.91,3502.46
18.92,3507.09
18.93,3511.72
18.94,3516.36
18.95,3521
18.96,3525.64
18.97,3530.29
18.98,3534.94
18.99,3539.6
19,3544.26
19.01,3548.92
19.02,3553.59
19.03,3558.26
19.04,3562.93
19.05,3567.61
19.06,3572.29
19.07,3576.97
19.08,3581.66
19.09,3586.36
19.1,3591.05
19.11,3595.75
19.12,3600.45
19.13,3605.16
19.14,3609.87
19.15,3614.59
19.16,3619.31
19.17,3624.03
19.18,3628.75
19.19,3633.48
19.2,3638.21
19.21,3642.95
19.22,3647.69
19.23,3652.44
19.24,3657.18
19.25,3661.93
19.26,3666.69
19.27,3671.45
19.28,3676.21
19.29,3680.98
19.3,3685.75
19.31,3690.52
19.32,3695.3
19.33,3700.08
19.34,3704.86
19.35,3709.65
19.36,3714.45
19.37,3719.24
19.38,3724.04
19.39,3728.84
19.4,3733.65
19.41,3738.46
19.42,3743.28
19.43,3748.09
19.44,3752.92
19.45,3757.74
19.46,3762.57
19.47,3767.4
19.48,3772.24
19.49,3777.08
19.5,3781.93
19.51,3786.77
19.52,3791.63
19.53,3796.48
19.54,3801.34
19.55,3806.2
19.56,3811.07
19.57,3815.94
19.58,3820.81
19.59,3825.69
19.6,3830.57
19.61,3835.46
19.62,3840.35
19.63,3845.24
19.64,3850.14
19.65,3855.04
19.66,3859.94
19.67,3864.85
19.68,3869.76
19.69,3874.68
19.7,3879.6
19.71,3884.52
19.72,3889.44
19.73,3894.38
19.74,3899.31
19.75,3904.25
19.76,3909.19
19.77,3914.13
19.78,3919.08
19.79,3924.04
19.8,3928.99
19.81,3933.95
19.82,3938.92
19.83,3943.88
19.84,3948.85
19.85,3953.83
19.86,3958.81
19.87,3963.79
19.88,3968.78
19.89,3973.77
19.9,3978.76
19.91,3983.76
19.92,3988.76
19.93,3993.77
19.94,3998.78
19.95,4003.79
19.96,4008.81
19.97,4013.83
19.98,4018.85
19.99,4023.88
20,4028.91
20.01,4033.95
20.02,4038.99
20.03,4044.03
20.04,4049.08
20.05,4054.13
20.06,4059.18
20.07,4064.24
20.08,4069.3
20.09,4074.37
20.1,4079.44
20.11,4084.51
20.12,4089.59
20.13,4094.67
20.14,4099.75
20.15,4104.84
20.16,4109.93
20.17,4115.03
20.18,4120.13
20.19,4125.23
20.2,4130.34
20.21,4135.45
20.22,4140.57
20.23,4145.68
20.24,4150.81
20.25,4155.93
20.26,4161.06
20.27,4166.2
20.28,4171.33
20.29,4176.48
20.3,4181.62
20.31,4186.77
20.32,4191.92
20.33,4197.08
20.34,4202.24
20.35,4207.41
20.36,4212.57
20.37,4217.75
20.38,4222.92
20.39,4228.1
20.4,4233.28
20.41,4238.47
20.42,4243.66
20.43,4248.86
20.44,4254.06
20.45,4259.26
20.46,4264.46
20.47,4269.67
20.48,4274.89
20.49,4280.11
20.5,4285.33
20.51,4290.55
20.52,4295.78
20.53,4301.02
20.54,4306.25
20.55,4311.49
20.56,4316.74
20.57,4321.99
20.58,4327.24
20.59,4332.49
20.6,4337.75
20.61,4343.02
20.62,4348.28
20.63,4353.56
20.64,4358.83
20.65,4364.11
20.66,4369.39
20.67,4374.68
20.68,4379.97
20.69,4385.26
20.7,4390.56
20.71,4395.86
20.72,4401.17
20.73,4406.48
20.74,4411.79
20.75,4417.11
20.76,4422.43
20.77,4427.76
20.78,4433.09
20.79,4438.42
20.8,4443.75
20.81,4449.1
20.82,4454.44
20.83,4459.79
20.84,4465.14
20.85,4470.5
20.86,4475.86
20.87,4481.22
20.88,4486.59
20.89,4491.96
20.9,4497.33
20.91,4502.71
20.92,4508.09
20.93,4513.48
20.94,4518.87
20.95,4524.27
20.96,4529.66
20.97,4535.07
20.98,4540.47
20.99,4545.88
21,4551.3
21.01,4556.71
21.02,4562.13
21.03,4567.56
21.04,4572.99
21.05,4578.42
21.06,4583.86
21.07,4589.3
21.08,4594.74
21.09,4600.19
21.1,4605.65
21.11,4611.1
21.12,4616.56
21.13,4622.03
21.14,4627.49
21.15,4632.97
21.16,4638.44
21.17,4643.92
21.18,4649.4
21.19,4654.89
21.2,4660.38
21.21,4665.88
21.22,4671.38
21.23,4676.88
21.24,4682.39
21.25,4687.9
21.26,4693.41
21.27,4698.93
21.28,4704.45
21.29,4709.98
21.3,4715.51
21.31,4721.04
21.32,4726.58
21.33,4732.12
21.34,4737.67
21.35,4743.22
21.36,4748.77
21.37,4754.33
21.38,4759.89
21.39,4765.45
21.4,4771.02
21.41,4776.6
21.42,4782.17
21.43,4787.75
21.44,4793.34
21.45,4798.93
21.46,4804.52
21.47,4810.12
21.48,4815.72
21.49,4821.32
21.5,4826.93
21.51,4832.54
21.52,4838.16
21.53,4843.78
21.54,4849.4
21.55,4855.03
21.56,4860.66
21.57,4866.3
21.58,4871.94
21.59,4877.58
21.6,4883.23
21.61,4888.88
21.62,4894.53
21.63,4900.19
21.64,4905.85
21.65,4911.52
21.66,4917.19
21.67,4922.87
21.68,4928.55
21.69,4934.23
21.7,4939.91
21.71,4945.61
21.72,4951.3
21.73,4957
21.74,4962.7
21.75,4968.41
21.76,4974.12
21.77,4979.83
21.78,4985.55
21.79,4991.27
21.8,4997
21.81,5002.73
21.82,5008.46
21.83,5014.2
21.84,5019.94
21.85,5025.69
21.86,5031.43
21.87,5037.19
21.88,5042.95
21.89,5048.71
21.9,5054.47
21.91,5060.24
21.92,5066.02
21.93,5071.79
21.94,5077.57
21.95,5083.36
21.96,5089.15
21.97,5094.94
21.98,5100.74
21.99,5106.54
22,5112.34
22.01,5118.15
22.02,5123.96
22.03,5129.78
22.04,5135.6
22.05,5141.43
22.06,5147.26
22.07,5153.09
22.08,5158.92
22.09,5164.77
22.1,5170.61
22.11,5176.46
22.12,5182.31
22.13,5188.17
22.14,5194.03
22.15,5199.89
22.16,5205.76
22.17,5211.63
22.18,5217.51
22.19,5223.39
22.2,5229.27
22.21,5235.16
22.22,5241.05
22.23,5246.95
22.24,5252.85
22.25,5258.75
22.26,5264.66
22.27,5270.57
22.28,5276.49
22.29,5282.41
22.3,5288.33
22.31,5294.26
22.32,5300.19
22.33,5306.13
22.34,5312.07
22.35,5318.01
22.36,5323.96
22.37,5329.91
22.38,5335.87
22.39,5341.83
22.4,5347.79
22.41,5353.76
22.42,5359.73
22.43,5365.71
22.44,5371.69
22.45,5377.67
22.46,5383.66
22.47,5389.65
22.48,5395.65
22.49,5401.65
22.5,5407.65
22.51,5413.66
22.52,5419.67
22.53,5425.69
22.54,5431.71
22.55,5437.73
22.56,5443.76
22.57,5449.79
22.58,5455.83
22.59,5461.87
22.6,5467.91
22.61,5473.96
22.62,5480.01
22.63,5486.07
22.64,5492.13
22.65,5498.19
22.66,5504.26
22.67,5510.33
22.68,5516.41
22.69,5522.49
22.7,5528.57
22.71,5534.66
22.72,5540.75
22.73,5546.85
22.74,5552.95
22.75,5559.05
22.76,5565.16
22.77,5571.27
22.78,5577.39
22.79,5583.51
22.8,5589.63
22.81,5595.76
22.82,5601.89
22.83,5608.03
22.84,5614.17
22.85,5620.31
22.86,5626.46
22.87,5632.61
22.88,5638.77
22.89,5644.93
22.9,5651.1
22.91,5657.26
22.92,5663.44
22.93,5669.61
22.94,5675.79
22.95,5681.98
22.96,5688.17
22.97,5694.36
22.98,5700.56
22.99,5706.76
23,5712.96
23.01,5719.17
23.02,5725.39
23.03,5731.6
23.04,5737.82
23.05,5744.05
23.06,5750.28
23.07,5756.51
23.08,5762.75
23.09,5768.99
23.1,5775.24
23.11,5781.49
23.12,5787.74
23.13,5794
23.14,5800.26
23.15,5806.52
23.16,5812.79
23.17,5819.07
23.18,5825.35
23.19,5831.63
23.2,5837.91
23.21,5844.21
23.22,5850.5
23.23,5856.8
23.24,5863.1
23.25,5869.41
23.26,5875.72
23.27,5882.03
23.28,5888.35
23.29,5894.67
23.3,5901
23.31,5907.33
23.32,5913.67
23.33,5920
23.34,5926.35
23.35,5932.69
23.36,5939.05
23.37,5945.4
23.38,5951.76
23.39,5958.12
23.4,5964.49
23.41,5970.86
23.42,5977.24
23.43,5983.62
23.44,5990
23.45,5996.39
23.46,6002.78
23.47,6009.18
23.48,6015.58
23.49,6021.98
23.5,6028.39
23.51,6034.8
23.52,6041.22
23.53,6047.64
23.54,6054.07
23.55,6060.5
23.56,6066.93
23.57,6073.37
23.58,6079.81
23.59,6086.25
23.6,6092.7
23.61,6099.15
23.62,6105.61
23.63,6112.07
23.64,6118.54
23.65,6125.01
23.66,6131.48
23.67,6137.96
23.68,6144.44
23.69,6150.93
23.7,6157.42
23.71,6163.91
23.72,6170.41
23.73,6176.92
23.74,6183.42
23.75,6189.93
23.76,6196.45
23.77,6202.97
23.78,6209.49
23.79,6216.02
23.8,6222.55
23.81,6229.09
23.82,6235.63
23.83,6242.17
23.84,6248.72
23.85,6255.27
23.86,6261.83
23.87,6268.39
23.88,6274.95
23.89,6281.52
23.9,6288.09
23.91,6294.67
23.92,6301.25
23.93,6307.83
23.94,6314.42
23.95,6321.02
23.96,6327.61
23.97,6334.22
23.98,6340.82
23.99,6347.43
24,6354.05
24.01,6360.66
24.02,6367.29
24.03,6373.91
24.04,6380.54
24.05,6387.18
24.06,6393.82
24.07,6400.46
24.08,6407.11
24.09,6413.76
24.1,6420.41
24.11,6427.07
24.12,6433.74
24.13,6440.4
24.14,6447.08
24.15,6453.75
24.16,6460.43
24.17,6467.12
24.18,6473.8
24.19,6480.5
24.2,6487.19
24.21,6493.89
24.22,6500.6
24.23,6507.31
24.24,6514.02
24.25,6520.74
24.26,6527.46
24.27,6534.19
24.28,6540.92
24.29,6547.65
24.3,6554.39
24.31,6561.13
24.32,6567.88
24.33,6574.63
24.34,6581.39
24.35,6588.14
24.36,6594.91
24.37,6601.68
24.38,6608.45
24.39,6615.22
24.4,6622
24.41,6628.79
24.42,6635.58
24.43,6642.37
24.44,6649.16
24.45,6655.97
24.46,6662.77
24.47,6669.58
24.48,6676.39
24.49,6683.21
24.5,6690.03
24.51,6696.86
24.52,6703.69
24.53,6710.52
24.54,6717.36
24.55,6724.2
24.56,6731.05
24.57,6737.9
24.58,6744.76
24.59,6751.62
24.6,6758.48
24.61,6765.35
24.62,6772.22
24.63,6779.09
24.64,6785.97
24.65,6792.86
24.66,6799.75
24.67,6806.64
24.68,6813.54
24.69,6820.44
24.7,6827.34
24.71,6834.25
24.72,6841.17
24.73,6848.09
24.74,6855.01
24.75,6861.93
24.76,6868.86
24.77,6875.8
24.78,6882.74
24.79,6889.68
24.8,6896.63
24.81,6903.58
24.82,6910.54
24.83,6917.5
24.84,6924.46
24.85,6931.43
24.86,6938.4
24.87,6945.38
24.88,6952.36
24.89,6959.34
24.9,6966.33
24.91,6973.33
24.92,6980.32
24.93,6987.33
24.94,6994.33
24.95,7001.34
24.96,7008.36
24.97,7015.38
24.98,7022.4
24.99,7029.43
25,7036.46
25.01,7043.49
25.02,7050.53
25.03,7057.58
25.04,7064.63
25.05,7071.68
25.06,7078.74
25.07,7085.8
25.08,7092.86
25.09,7099.93
25.1,7107.01
25.11,7114.08
25.12,7121.17
25.13,7128.25
25.14,7135.34
25.15,7142.44
25.16,7149.54
25.17,7156.64
25.18,7163.75
25.19,7170.86
25.2,7177.98
25.21,7185.1
25.22,7192.22
25.23,7199.35
25.24,7206.48
25.25,7213.62
25.26,7220.76
25.27,7227.91
25.28,7235.06
25.29,7242.21
25.3,7249.37
25.31,7256.53
25.32,7263.7
25.33,7270.87
25.34,7278.05
25.35,7285.23
25.36,7292.41
25.37,7299.6
25.38,7306.79
25.39,7313.99
25.4,7321.19
25.41,7328.39
25.42,7335.6
25.43,7342.82
25.44,7350.03
25.45,7357.26
25.46,7364.48
25.47,7371.71
25.48,7378.95
25.49,7386.19
25.5,7393.43
25.51,7400.68
25.52,7407.93
25.53,7415.19
25.54,7422.45
25.55,7429.71
25.56,7436.98
25.57,7444.26
25.58,7451.53
25.59,7458.81
25.6,7466.1
25.61,7473.39
25.62,7480.69
25.63,7487.98
25.64,7495.29
25.65,7502.6
25.66,7509.91
25.67,7517.22
25.68,7524.54
25.69,7531.87
25.7,7539.2
25.71,7546.53
25.72,7553.87
25.73,7561.21
25.74,7568.56
25.75,7575.91
25.76,7583.26
25.77,7590.62
25.78,7597.98
25.79,7605.35
25.8,7612.72
25.81,7620.1
25.82,7627.48
25.83,7634.86
25.84,7642.25
25.85,7649.64
25.86,7657.04
25.87,7664.44
25.88,7671.85
25.89,7679.26
25.9,7686.67
25.91,7694.09
25.92,7701.52
25.93,7708.94
25.94,7716.37
25.95,7723.81
25.96,7731.25
25.97,7738.7
25.98,7746.14
25.99,7753.6
26,7761.06
26.01,7768.52
26.02,7775.98
26.03,7783.45
26.04,7790.93
26.05,7798.41
26.06,7805.89
26.07,7813.38
26.08,7820.87
26.09,7828.37
26.1,7835.87
26.11,7843.37
26.12,7850.88
26.13,7858.4
26.14,7865.91
26.15,7873.44
26.16,7880.96
26.17,7888.49
26.18,7896.03
26.19,7903.57
26.2,7911.11
26.21,7918.66
26.22,7926.21
26.23,7933.77
26.24,7941.33
26.25,7948.89
26.26,7956.46
26.27,7964.04
26.28,7971.62
26.29,7979.2
26.3,7986.79
26.31,7994.38
26.32,8001.97
26.33,8009.57
26.34,8017.18
26.35,8024.79
26.36,8032.4
26.37,8040.02
26.38,8047.64
26.39,8055.26
26.4,8062.89
26.41,8070.53
26.42,8078.17
26.43,8085.81
26.44,8093.46
26.45,8101.11
26.46,8108.77
26.47,8116.43
26.48,8124.09
26.49,8131.76
26.5,8139.43
26.51,8147.11
26.52,8154.79
26.53,8162.48
26.54,8170.17
26.55,8177.87
26.56,8185.57
26.57,8193.27
26.58,8200.98
26.59,8208.69
26.6,8216.41
26.61,8224.13
26.62,8231.86
26.63,8239.59
26.64,8247.32
26.65,8255.06
26.66,8262.8
26.67,8270.55
26.68,8278.3
26.69,8286.06
26.7,8293.82
26.71,8301.59
26.72,8309.35
26.73,8317.13
26.74,8324.91
26.75,8332.69
26.76,8340.48
26.77,8348.27
26.78,8356.06
26.79,8363.86
26.8,8371.67
26.81,8379.48
26.82,8387.29
26.83,8395.11
26.84,8402.93
26.85,8410.75
26.86,8418.58
26.87,8426.42
26.88,8434.26
26.89,8442.1
26.9,8449.95
26.91,8457.8
26.92,8465.66
26.93,8473.52
26.94,8481.39
26.95,8489.26
26.96,8497.13
26.97,8505.01
26.98,8512.89
26.99,8520.78
27,8528.67
27.01,8536.57
27.02,8544.47
27.03,8552.37
27.04,8560.28
27.05,8568.2
27.06,8576.11
27.07,8584.04
27.08,8591.96
27.09,8599.89
27.1,8607.83
27.11,8615.77
27.12,8623.71
27.13,8631.66
27.14,8639.62
27.15,8647.57
27.16,8655.54
27.17,8663.5
27.18,8671.47
27.19,8679.45
27.2,8687.43
27.21,8695.41
27.22,8703.4
27.23,8711.39
27.24,8719.39
27.25,8727.39
27.26,8735.4
27.27,8743.41
27.28,8751.42
27.29,8759.44
27.3,8767.47
27.31,8775.5
27.32,8783.53
27.33,8791.56
27.34,8799.61
27.35,8807.65
27.36,8815.7
27.37,8823.76
27.38,8831.82
27.39,8839.88
27.4,8847.95
27.41,8856.02
27.42,8864.1
27.43,8872.18
27.44,8880.26
27.45,8888.35
27.46,8896.45
27.47,8904.54
27.48,8912.65
27.49,8920.76
27.5,8928.87
27.51,8936.98
27.52,8945.1
27.53,8953.23
27.54,8961.36
27.55,8969.49
27.56,8977.63
27.57,8985.78
27.58,8993.92
27.59,9002.07
27.6,9010.23
27.61,9018.39
27.62,9026.56
27.63,9034.73
27.64,9042.9
27.65,9051.08
27.66,9059.26
27.67,9067.45
27.68,9075.64
27.69,9083.84
27.7,9092.04
27.71,9100.24
27.72,9108.45
27.73,9116.67
27.74,9124.88
27.75,9133.11
27.76,9141.33
27.77,9149.57
27.78,9157.8
27.79,9166.04
27.8,9174.29
27.81,9182.54
27.82,9190.79
27.83,9199.05
27.84,9207.31
27.85,9215.58
27.86,9223.85
27.87,9232.13
27.88,9240.41
27.89,9248.69
27.9,9256.98
27.91,9265.28
27.92,9273.58
27.93,9281.88
27.94,9290.19
27.95,9298.5
27.96,9306.81
27.97,9315.14
27.98,9323.46
27.99,9331.79
28,9340.12
28.01,9348.46
28.02,9356.81
28.03,9365.15
28.04,9373.51
28.05,9381.86
28.06,9390.22
28.07,9398.59
28.08,9406.96
28.09,9415.33
28.1,9423.71
28.11,9432.1
28.12,9440.48
28.13,9448.88
28.14,9457.27
28.15,9465.67
28.16,9474.08
28.17,9482.49
28.18,9490.9
28.19,9499.32
28.2,9507.75
28.21,9516.18
28.22,9524.61
28.23,9533.04
28.24,9541.49
28.25,9549.93
28.26,9558.38
28.27,9566.84
28.28,9575.3
28.29,9583.76
28.3,9592.23
28.31,9600.7
28.32,9609.18
28.33,9617.66
28.34,9626.15
28.35,9634.64
28.36,9643.13
28.37,9651.63
28.38,9660.14
28.39,9668.65
28.4,9677.16
28.41,9685.68
28.42,9694.2
28.43,9702.73
28.44,9711.26
28.45,9719.8
28.46,9728.34
28.47,9736.88
28.48,9745.43
28.49,9753.98
28.5,9762.54
28.51,9771.11
28.52,9779.67
28.53,9788.24
28.54,9796.82
28.55,9805.4
28.56,9813.99
28.57,9822.58
28.58,9831.17
28.59,9839.77
28.6,9848.37
28.61,9856.98
28.62,9865.59
28.63,9874.21
28.64,9882.83
28.65,9891.46
28.66,9900.09
28.67,9908.72
28.68,9917.36
28.69,9926.01
28.7,9934.66
28.71,9943.31
28.72,9951.97
28.73,9960.63
28.74,9969.3
28.75,9977.97
28.76,9986.64
28.77,9995.32
28.78,10004
28.79,10012.7
28.8,10021.4
28.81,10030.1
28.82,10038.8
28.83,10047.5
28.84,10056.2
28.85,10064.9
28.86,10073.7
28.87,10082.4
28.88,10091.1
28.89,10099.8
28.9,10108.6
28.91,10117.3
28.92,10126.1
28.93,10134.8
28.94,10143.6
28.95,10152.3
28.96,10161.1
28.97,10169.9
28.98,10178.7
28.99,10187.4
29,10196.2
29.01,10205
29.02,10213.8
29.03,10222.6
29.04,10231.4
29.05,10240.2
29.06,10249
29.07,10257.8
29.08,10266.7
29.09,10275.5
29.1,10284.3
29.11,10293.2
29.12,10302
29.13,10310.8
29.14,10319.7
29.15,10328.5
29.16,10337.4
29.17,10346.3
29.18,10355.1
29.19,10364
29.2,10372.9
29.21,10381.7
29.22,10390.6
29.23,10399.5
29.24,10408.4
29.25,10417.3
29.26,10426.2
29.27,10435.1
29.28,10444
29.29,10453
29.3,10461.9
29.31,10470.8
29.32,10479.7
29.33,10488.7
29.34,10497.6
29.35,10506.5
29.36,10515.5
29.37,10524.4
29.38,10533.4
29.39,10542.4
29.4,10551.3
29.41,10560.3
29.42,10569.3
29.43,10578.3
29.44,10587.2
29.45,10596.2
29.46,10605.2
29.47,10614.2
29.48,10623.2
29.49,10632.2
29.5,10641.3
29.51,10650.3
29.52,10659.3
29.53,10668.3
29.54,10677.4
29.55,10686.4
29.56,10695.4
29.57,10704.5
29.58,10713.5
29.59,10722.6
29.6,10731.6
29.61,10740.7
29.62,10749.8
29.63,10758.8
29.64,10767.9
29.65,10777
29.66,10786.1
29.67,10795.2
29.68,10804.3
29.69,10813.4
29.7,10822.5
29.71,10831.6
29.72,10840.7
29.73,10849.8
29.74,10858.9
29.75,10868.1
29.76,10877.2
29.77,10886.3
29.78,10895.5
29.79,10904.6
29.8,10913.8
29.81,10922.9
29.82,10932.1
29.83,10941.3
29.84,10950.4
29.85,10959.6
29.86,10968.8
29.87,10978
29.88,10987.1
29.89,10996.3
29.9,11005.5
29.91,11014.7
29.92,11023.9
29.93,11033.1
29.94,11042.4
29.95,11051.6
29.96,11060.8
29.97,11070
29.98,11079.3
29.99,11088.5
30,11097.7
30.01,11107
30.02,11116.2
30.03,11125.5
30.04,11134.8
30.05,11144
30.06,11153.3
30.07,11162.6
30.08,11171.9
30.09,11181.1
30.1,11190.4
30.11,11199.7
30.12,11209
30.13,11218.3
30.14,11227.6
30.15,11236.9
30.16,11246.3
30.17,11255.6
30.18,11264.9
30.19,11274.2
30.2,11283.6
30.21,11292.9
30.22,11302.3
30.23,11311.6
30.24,11321
30.25,11330.3
30.26,11339.7
30.27,11349.1
30.28,11358.4
30.29,11367.8
30.3,11377.2
30.31,11386.6
30.32,11396
30.33,11405.4
30.34,11414.8
30.35,11424.2
30.36,11433.6
30.37,11443
30.38,11452.4
30.39,11461.8
30.4,11471.3
30.41,11480.7
30.42,11490.1
30.43,11499.6
30.44,11509
30.45,11518.5
30.46,11527.9
30.47,11537.4
30.48,11546.8
30.49,11556.3
30.5,11565.8
30.51,11575.3
30.52,11584.8
30.53,11594.2
30.54,11603.7
30.55,11613.2
30.56,11622.7
30.57,11632.2
30.58,11641.8
30.59,11651.3
30.6,11660.8
30.61,11670.3
30.62,11679.9
30.63,11689.4
30.64,11698.9
30.65,11708.5
30.66,11718
30.67,11727.6
30.68,11737.1
30.69,11746.7
30.7,11756.3
30.71,11765.8
30.72,11775.4
30.73,11785
30.74,11794.6
30.75,11804.2
30.76,11813.8
30.77,11823.4
30.78,11833
30.79,11842.6
30.8,11852.2
30.81,11861.8
30.82,11871.4
30.83,11881.1
30.84,11890.7
